X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16
"0,321885854","0,0431659966","0,0078826942","0,0080954836","0,0053503815","0,0218201974","0,0401633514","0,0299376002","0,0140680283","0,0166587853","0,009477747","0,0074104162","0,0012820066","0,0007791204","8,24E-66","6,38E-120"
"0,0540133328","4,84870697","0,2700464944","0,031477845","0,0311206331","0,0856826951","0,1082518788","0,0946101139","0,0863528188","0,0551141159","0,0419385198","0,0120958942","0,0047724222","0,0013978722","0,0003474529","8,09E-39"
"0,000456462","1,048402346","6,091524586","0,1989158218","0,0199709921","0,0668319525","0,0658949586","0,0970851505","0,0954147078","0,0670538232","0,0424864096","0,0198701346","0,0051186943","0,0007273204","4,94E-25","0,000182154"
"0,002596132","0,0473315233","1,993378341","7,200404997","0,0857326037","0,0790668822","0,0854208542","0,1108169644","0,0876955236","0,0922975521","0,0458035025","0,0251130956","0,005713918","0,0010781875","6,21E-33","1,71E-70"
"0,0071915872","0,0248833195","0,0098972723","0,8768150254","0,4339633522","0,0505185217","0,0330594492","0,0381384107","0,0234709676","0,0267235372","0,0132913985","0,0090065556","0,0006949131","0,0012567595","0,0001771642","1,22E-47"
"0,007041192","0,1194122062","0,037501698","0,2021930556","0,2798229084","0,1686102232","0,0286939363","0,0356961469","0,0409234494","0,0332290896","0,0081207435","0,0126152144","0,0042786908","0,0024173748","0,0004631169","0,0012859724"
"0,014148632","0,3865614288","0,2559022355","0,1699735343","0,049810401","0,0898122446","0,0795333394","0,0519274611","0,054661293","0,0264567137","0,0203241595","0,0029626322","0,0054288861","0,000447586","1,65E-48","3,11E-55"
"0,0240945305","0,2110300456","0,1547672463","0,0817929897","0,0184061608","0,0543009779","0,0739351186","0,0521677009","0,0563267084","0,0251807147","0,0035397255","0,0079664634","0,0005569298","0,0020853046","1,84E-123","9,70E-67"
"0,0078131391","0,1143718976","0,0909011945","0,3802121039","0,0085453319","0,0262430162","0,0251880009","0,0322563508","0,0673506045","0,0224997143","0,0239241043","0,0065062719","0,0055089267","0,0004783088","4,81E-68","2,40E-92"
"0,0655265016","0,2311635356","0,1499707649","0,5535630933","0,0057403253","0,0302865481","0,0572506883","0,0470559232","0,0428736553","0,0242614518","0,0286665377","0,0129570473","0,0032436252","0,0016793032","6,21E-134","3,27E-72"
"0,0172765646","0,3437449131","0,4309027846","0,4742930729","0,0053932819","0,014412874","0,0395545363","0,037378186","0,0456834488","0,0592135906","0,0291473801","0,0154857502","0,0045310539","8,87E-24","1,24E-117","5,64E-78"
"0,0614363036","0,2983673475","0,2590927","0,3008008121","0,005924546","0,0526458862","0,0202188672","0,0327897605","0,0407753741","0,0283422407","0,0243657809","0,0273993226","0,0088799072","1,13E-31","0,0007819605","0,0007624675"
"0,0363695643","0,0596870355","0,0305072624","0,145523978","0,0126062984","0,0016945817","0,0155127292","0,042209767","0,0092179243","0,0142200652","0,0110967529","0,0057702035","0,0204474044","0,0111075734","4,42E-67","2,12E-37"
"0,0016793703","0,0272971001","0,0105886266","7,61E-32","0,0019719156","0,0019288501","0,0124343737","0,0053929779","0,0054168497","0,0086350207","0,001945545","0,0149082274","0,008117811","0,0174395489","0,0111239023","3,46E-126"
"1,28E-28","5,11E-26","1,93E-40","0,0076047603","2,64E-22","1,70E-24","1,26E-26","0,0076210988","0,0078497995","0,0211516023","0,0352117832","0,0214360383","0,0077390211","0,0080132832","0,0079128506","0,0213825814"
"2,82E-94","0,0211305187","8,47E-42","0,0212592841","4,90E-36","0,0075923239","9,77E-69","2,23E-60","1,44E-48","8,56E-60","4,69E-42","1,60E-46","2,21E-83","8,86E-107","1,02E-80","6,61E-113"