"date","Cases.Mean","Cases.sd","Cases.q2.5","Cases.q50","Cases.q97.5","Deaths.Mean","Deaths.sd","Deaths.q2.5","Deaths.q50","Deaths.q97.5","model"
2020-02-02,0.00584186764866558,0.000414779388062403,0.0058180518133572,0.00582125004576464,0.00582458516593248,3.07841691955605e-05,7.67875545297799e-06,3.0392499703858e-05,3.04260985296648e-05,3.04610324033394e-05,"Percolation"
2020-02-09,0.0593260450925225,0.00190904005688234,0.0590805181626108,0.0592302928909242,0.0593867472854362,0.00173912914295318,8.90123248491522e-05,0.00173051358308551,0.00173468875081688,0.00173904527200188,"Percolation"
2020-02-16,0.399948915053363,0.00908840390852474,0.397648667626221,0.399493897423921,0.401428612290544,0.0169738100434242,0.00048321267903871,0.0168811063610519,0.0169496092367119,0.0170212333661048,"Percolation"
2020-02-23,2.6266890460824,0.0414988453497375,2.6068058292102,2.62463996457841,2.64338527044335,0.121535591513521,0.00231277677755519,0.120688825259695,0.121420902729424,0.122188034381918,"Percolation"
2020-03-01,17.4902320329204,0.177061908874626,17.3248068759967,17.4822578637412,17.6480265768078,0.82560250961806,0.0102425859778926,0.81837958315848,0.82512057594685,0.832210990124434,"Percolation"
2020-03-08,117.899453544575,0.786510610729261,116.559849068185,117.880451111728,119.271987154092,5.59205950110607,0.0430713639337031,5.53262959125469,5.59051255437275,5.6515741560131,"Percolation"
2020-03-15,793.945275049525,5.89728207094387,783.291025113463,793.995649448591,804.907858675626,37.9130808869613,0.251886386929925,37.4339110514633,37.9119160613931,38.4018430547824,"Percolation"
2020-03-22,3326.0939814722,31.967146565396,3275.39460423253,3326.80653932505,3379.29014348779,207.606850146049,1.80211600771974,204.59808286677,207.644395332888,210.748024764138,"Percolation"
2020-03-29,4132.50953882252,43.0142384544281,4055.5673262149,4132.58376302064,4211.62253885282,456.830351031243,4.4227890874944,448.928689916907,456.866778683093,464.894039506154,"Percolation"
2020-04-05,4545.48827645242,52.016569857049,4447.97492378834,4544.98220717009,4646.55712486795,621.055339311814,6.80687382128884,608.036605337489,620.961519069578,634.407745578961,"Percolation"
2020-04-12,4981.31498070115,61.0576959852137,4864.83768258775,4980.47795896722,5101.74018406775,766.896825392925,9.97914659358393,747.891140863607,766.690245513698,786.911561209203,"Percolation"
2020-04-19,5299.2542269304,67.7608699169267,5169.41308777076,5298.20507083793,5433.85847776421,899.820746875981,13.4658757868762,874.114291540628,899.536055833396,926.784019004901,"Percolation"
2020-04-26,5492.43110766765,71.8293715767711,5354.20580843029,5491.28635880011,5634.62033327277,1010.70815965597,16.4295438466681,979.307517556743,1010.35241487327,1043.34599342816,"Percolation"
2020-05-03,5566.89021440683,73.2599159878874,5425.95694697481,5565.74951662064,5711.97483506125,1094.50060438753,18.8737241773732,1058.56960301833,1094.06372315657,1132.26294264088,"Percolation"
2020-05-10,5529.98414140511,72.2051740298424,5392.11667484988,5528.54028304865,5673.77050803413,1151.94050596884,21.4231577266549,1111.67634612637,1151.24315342449,1195.31014101307,"Percolation"
2020-05-17,5391.8233796281,68.9896673212061,5260.36120112599,5390.45782625287,5528.27316305639,1183.52937377218,23.2992665012326,1139.91742803409,1182.86765163434,1230.7162458046,"Percolation"
2020-05-24,5166.30841111303,64.0854652471058,5044.00676240902,5165.28429638641,5294.0274659135,1187.66935740017,23.8534450308797,1143.08873256063,1187.02806261865,1236.06120953191,"Percolation"
2020-05-31,4870.61872648497,58.0609626829055,4759.55831368479,4869.74571127374,4986.56588190089,1165.14165964704,23.1563591051226,1121.89659612368,1164.41335052708,1212.0459600971,"Percolation"
2020-06-07,4547.15770671188,50.6367957183967,4449.78952044887,4546.62270243172,4648.67917699194,1117.33125261147,21.365799294601,1077.47978893662,1116.67963260297,1160.52534604362,"Percolation"
2020-06-14,4258.89342055931,43.2542091305507,4175.88834077247,4258.74606828311,4346.13814825244,1046.52648210502,18.5529363928177,1011.87457317822,1045.97595646285,1083.90177440422,"Percolation"
2020-06-21,3987.49996953708,37.5551789101934,3915.93788624971,3987.39091854644,4062.25647342121,974.770938797207,15.9143092239926,944.85817219719,974.437165742141,1006.50107596325,"Percolation"
2020-06-28,3708.39870847953,32.778441166751,3646.76816708063,3708.09911146865,3772.29664677576,908.509648269422,13.744099486937,882.827212511464,908.331141479236,935.568916067824,"Percolation"
2020-07-05,3520.10854586389,28.4412526147089,3468.08037896782,3519.6725864443,3573.82331436092,848.407847425888,11.8721032912407,826.40410186548,848.228508851016,871.589527842859,"Percolation"
2020-07-12,3632.71431793575,24.2280705254381,3588.55468989107,3632.61298762987,3678.32637506412,820.055752099957,10.0726635087715,801.471632254762,819.910644742925,839.503816888695,"Percolation"
2020-07-19,3603.42298026682,21.8899328202221,3563.76050532064,3602.95539736277,3643.01442647245,811.508446641619,8.48383237170075,795.764969870573,811.399650958318,827.742057585657,"Percolation"
2020-07-26,3500.39339448806,21.1191267300215,3462.52390503854,3499.85175117831,3538.1856943341,802.920249182466,7.21462381126165,789.682184721942,802.850642591513,816.523848886813,"Percolation"
2020-08-02,3346.46343492729,21.4447965852852,3307.79123821448,3345.88493342861,3384.98474841031,788.736383518217,6.24763403236871,777.452980235251,788.70238794384,800.3086354191,"Percolation"
2020-08-09,3019.58577599826,21.4023697129704,2981.22975994952,3019.1721161766,3058.05278099425,755.026953115692,5.48258912289856,745.251648137975,754.909762612006,764.760494486181,"Percolation"
2020-08-16,2715.17994662233,21.7380694810785,2675.47108109299,2715.0207341252,2754.12507331514,696.049652581588,4.84434278441553,687.501553634489,695.961057306742,704.590102637479,"Percolation"
2020-08-23,2464.61643093379,22.2136123816915,2423.58878887357,2464.33807391266,2504.50731367709,636.393492059535,4.4483327418844,628.670571272075,636.27038998299,644.112455625636,"Percolation"
2020-08-30,2229.26628603192,22.373581327856,2187.93765389001,2228.95676605919,2270.21702500674,581.288257983265,4.25800060071655,573.757869955185,581.170804821537,588.808584369837,"Percolation"
2020-08-31,299.741009917722,3.18563739795305,293.853920354137,299.711175235308,305.594205520091,78.7738345640135,0.601293255654935,77.722677475492,78.7593325751877,79.833486062814,"Percolation"
